DeviceName,ShuntGroupName,PhaseCode,ConnectedNode1,NormalCount,OptControl,FeederVoltageControlEnabled,MinimumRegulatorVoltage,MaximumRegulatorVoltage,KvarRating,ShuntTypeName,ServiceScheduleName,SubstationName,FeederName,AORRefName
SKYLARK CAP 2_2592,EMS,ABC,en_3303601_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
STETSON CAP 1_2593,EMS,ABC,en_3304600_SH,1,N,NULL,NULL,NULL,6000,12.0KV_6000,Fall-InSvcSchedule,,NULL,All
STETSON CAP 2_2594,EMS,ABC,en_3304601_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
STETSON CAP 3_2595,EMS,ABC,en_3304602_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
TENAJA CAP 1_2597,EMS,ABC,en_3306600_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
TENAJA CAP 2_2598,EMS,ABC,en_3306601_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
YORBA LINDA CAP 2_2600,EMS,ABC,en_3308600_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
YORBA LINDA CAP 3_2601,EMS,ABC,en_3308601_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
YORBA LINDA CAP 4_2602,EMS,ABC,en_3308602_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
FOGARTY CAP 1_2608,EMS,ABC,en_3317600_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
FOGARTY CAP 4_2609,EMS,ABC,en_3317601_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
SUN CITY CAP 1_2622,EMS,ABC,en_3316600_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
SUN CITY CAP 4_2623,EMS,ABC,en_3316601_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
STADLER CAP 1_2631,EMS,ABC,en_3493600_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
