DeviceName,TransformerGroupName,PhaseCode,ConnectedNode1,ConnectedNode2,AlarmEnabled,SuppressActAlm,SuppressHisAlm,Remark,PrimaryNormalTap,SecondaryNormalTap,PrimaryOptControl,SecondaryOptControl,PrimaryFeederVoltageControl,SecondaryFeederVoltageControl,MinimumRegulatorVoltage,MaximumRegulatorVoltage,PrimaryEarthResistance,SecondaryEarthResistance,PrimaryEarthImpedance,SecondaryEarthImpedance,AutomaticRegulator,AutomaticRegulatorC,AutomaticRegulatorMove,AutomaticRegulatorM,TransformerTypeName,DeviceLimitName,SubstationName,FeederName,AORRefName,VoltageLimitName
CASA DIABLO NO.2E BANK_874,EMS,ABC,en_488197,en_506770,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,CASA_DIABLO,NULL,All,NULL
CASA DIABLO NO.2W BANK_875,EMS,ABC,en_488198,en_506771,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,CASA_DIABLO,NULL,All,NULL
ARBORS NO.1 BANK_942,EMS,ABC,en_1011900,en_1753201_S,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,ARBORS,NULL,All,NULL
ARBORS NO.2 BANK_943,EMS,ABC,en_1011901,en_1753204_S,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,ARBORS,NULL,All,NULL
MIRA LOMA NO.9 BANK_960,EMS,ABC,en_710321,en_431321_S,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,MIRA_LOMA,NULL,All,NULL
HANFORD NO.2S BANK_972,EMS,ABC,en_958119,en_959702,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,HANFORD,NULL,All,NULL
HANFORD NO.3S BANK_973,EMS,ABC,en_958121,en_959705,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,HANFORD,NULL,All,NULL
MESA NO.5 BANK_978,EMS,ABC,en_926388,en_725116_S,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,MESA,NULL,All,NULL
MESA NO.6 BANK_979,EMS,ABC,en_926389,en_725117_S,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,MESA,NULL,All,NULL
LAS LOMAS NO.1S BANK_997,EMS,ABC,en_1270128,en_4301129,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,LAS_LOMAS,NULL,All,NULL
HI DESERT NO.1 BANK_1030,EMS,ABC,en_518003,en_2043003_S,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,HI_DESERT,NULL,All,NULL
HI DESERT NO.2 BANK_1031,EMS,ABC,en_518005,en_2043007_S,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,HI_DESERT,NULL,All,NULL
HI DESERT NO.3W BANK_1032,EMS,ABC,en_2043151,en_2044201,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,HI_DESERT,NULL,All,NULL
MIRA LOMA NO.10 BANK_1039,EMS,ABC,en_710182,en_431118_S,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,MIRA_LOMA,NULL,All,NULL
CABRILLO NO.4N BANK_1042,EMS,ABC,en_156903,en_157903,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,CABRILLO,NULL,All,NULL
FAIRVIEW NO.2S BANK_1100,EMS,ABC,en_160705,en_161705,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,FAIRVIEW,NULL,All,NULL
FAIRVIEW NO.1N BANK_1101,EMS,ABC,en_160701,en_161701,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,FAIRVIEW,NULL,All,NULL
CABRILLO NO.2S BANK_1103,EMS,ABC,en_156910,en_157911,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,CABRILLO,NULL,All,NULL
CABRILLO NO.1S BANK_1104,EMS,ABC,en_156920,en_157921,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,CABRILLO,NULL,All,NULL
SANTA BARBARA NO.3W BANK_1106,EMS,ABC,en_822151,en_823155,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,SANTA_BARBARA,NULL,All,NULL
CROWN NO.3 BANK_1107,EMS,ABC,en_647152,en_1537704_S,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,CROWN,NULL,All,NULL
CHIP NO.1 BANK_1147,EMS,ABC,en_643110,en_1824901_S,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,CHIP,NULL,All,NULL
