DeviceName,ShuntGroupName,PhaseCode,ConnectedNode1,NormalCount,OptControl,FeederVoltageControlEnabled,MinimumRegulatorVoltage,MaximumRegulatorVoltage,KvarRating,ShuntTypeName,ServiceScheduleName,SubstationName,FeederName,AORRefName
AQUEDUCT CAP 3_1667,EMS,ABC,en_4147632_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
HESPERIA CAP 1_1668,EMS,ABC,en_4148612_SH,1,N,NULL,NULL,NULL,6000,12.0KV_6000,Fall-InSvcSchedule,,NULL,All
VICTORVILLE CAP 1_1672,EMS,ABC,en_4158611_SH,1,N,NULL,NULL,NULL,6000,33.0KV_6000,Fall-InSvcSchedule,,NULL,All
LAS LOMAS CAP 1_1701,EMS,ABC,en_4301133_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
MOULTON CAP 1_1703,EMS,ABC,en_4202612_SH,1,N,NULL,NULL,NULL,6000,12.0KV_6000,Fall-InSvcSchedule,,NULL,All
MOULTON CAP 2_1704,EMS,ABC,en_4202621_SH,1,N,NULL,NULL,NULL,6000,12.0KV_6000,Fall-InSvcSchedule,,NULL,All
MOULTON CAP 3_1705,EMS,ABC,en_4202632_SH,1,N,NULL,NULL,NULL,6000,12.0KV_6000,Fall-InSvcSchedule,,NULL,All
MILLIKEN CAP 1_1706,EMS,ABC,en_4203612_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
MILLIKEN CAP 2_1707,EMS,ABC,en_4203622_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
MILLIKEN CAP 3_1708,EMS,ABC,en_4203632_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
MILLIKEN CAP 5_1709,EMS,ABC,en_4203642_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
MALIBU CAP 1_1724,EMS,ABC,en_4214610_SH,1,N,NULL,NULL,NULL,3000,16.0KV_3000,Fall-InSvcSchedule,,NULL,All
MALIBU CAP 2_1725,EMS,ABC,en_4214620_SH,1,N,NULL,NULL,NULL,3000,16.0KV_3000,Fall-InSvcSchedule,,NULL,All
POTRERO CAP 1A_1727,EMS,ABC,en_4216612_SH,1,N,NULL,NULL,NULL,4500,16.0KV_4500,Fall-InSvcSchedule,,NULL,All
POTRERO CAP 1B_1728,EMS,ABC,en_4216613_SH,1,N,NULL,NULL,NULL,3150,16.0KV_3150,Fall-InSvcSchedule,,NULL,All
POTRERO CAP 2A_1729,EMS,ABC,en_4216622_SH,1,N,NULL,NULL,NULL,3000,16.0KV_3000,Fall-InSvcSchedule,,NULL,All
POTRERO CAP 2B_1730,EMS,ABC,en_4216624_SH,1,N,NULL,NULL,NULL,3000,16.0KV_3000,Fall-InSvcSchedule,,NULL,All
YUCCA CAP 1_1744,EMS,ABC,en_4231612_SH,1,N,NULL,NULL,NULL,4950,12.0KV_4950,Fall-InSvcSchedule,,NULL,All
PEPPER CAP 2_1753,EMS,ABC,en_3421621_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
SANTIAGO CAP 10_PSS_1806,EMS,ABC,en_1573614_SH,1,N,NULL,NULL,NULL,10200,33.0KV_10200,Fall-InSvcSchedule,,NULL,All
SANTIAGO CAP 11_PSS_1807,EMS,ABC,en_1573613_SH,1,N,NULL,NULL,NULL,10200,33.0KV_10200,Fall-InSvcSchedule,,NULL,All
ARCHIBALD CAP 1_2014,EMS,ABC,en_3010601_SH,1,N,NULL,NULL,NULL,6000,12.0KV_6000,Fall-InSvcSchedule,,NULL,All
ARCHIBALD CAP 2_2015,EMS,ABC,en_3010600_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
BLOOMINGTON CAP 1_2023,EMS,ABC,en_3013603_SH,1,N,NULL,NULL,NULL,4500,12.0KV_4500,Fall-InSvcSchedule,,NULL,All
BLOOMINGTON CAP 2_2024,EMS,ABC,en_3013606_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
BLOOMINGTON CAP 3_2025,EMS,ABC,en_3013609_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
BLOOMINGTON CAP 4_2026,EMS,ABC,en_3013612_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
FARRELL CAP 1_2028,EMS,ABC,en_3015602_SH,1,N,NULL,NULL,NULL,3600,12.0KV_3600,Fall-InSvcSchedule,,NULL,All
FARRELL CAP 2_2029,EMS,ABC,en_3015604_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
FARRELL CAP 3_2030,EMS,ABC,en_3015606_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
FARRELL CAP 4_2031,EMS,ABC,en_3015608_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
BURNT MILL CAP 1_2036,EMS,ABC,en_3018601_SH,1,N,NULL,NULL,NULL,1500,12.0KV_1500,Fall-InSvcSchedule,,NULL,All
RUNNING SPRINGS CAP 2_2037,EMS,ABC,en_3022621_SH,1,N,NULL,NULL,NULL,3600,33.0KV_3600,Fall-InSvcSchedule,,NULL,All
OAK PARK CAP 2_2048,EMS,ABC,en_3512622_SH,1,N,NULL,NULL,NULL,4800,16.0KV_4800,Fall-InSvcSchedule,,NULL,All
OAK PARK CAP 1_2049,EMS,ABC,en_3512612_SH,1,N,NULL,NULL,NULL,4800,16.0KV_4800,Fall-InSvcSchedule,,NULL,All
NEWBURY CAP 1_PSS_2058,EMS,ABC,en_3037617_SH,1,N,NULL,NULL,NULL,4800,16.0KV_4800,Fall-InSvcSchedule,,NULL,All
NEWBURY CAP 2_PSS_2059,EMS,ABC,en_3037618_SH,1,N,NULL,NULL,NULL,4800,16.0KV_4800,Fall-InSvcSchedule,,NULL,All
NEWBURY CAP 5_PSS_2060,EMS,ABC,en_3037619_SH,1,N,NULL,NULL,NULL,4800,16.0KV_4800,Fall-InSvcSchedule,,NULL,All
NEWBURY CAP 6_PSS_2061,EMS,ABC,en_3037620_SH,1,N,NULL,NULL,NULL,3600,16.0KV_3600,Fall-InSvcSchedule,,NULL,All
ROYAL CAP 1_2065,EMS,ABC,en_3039612_SH,1,N,NULL,NULL,NULL,4800,16.0KV_4800,Fall-InSvcSchedule,,NULL,All
ROYAL CAP 2_2066,EMS,ABC,en_3039622_SH,1,N,NULL,NULL,NULL,4800,16.0KV_4800,Fall-InSvcSchedule,,NULL,All
ROYAL CAP 3_2067,EMS,ABC,en_3039632_SH,1,N,NULL,NULL,NULL,4800,16.0KV_4800,Fall-InSvcSchedule,,NULL,All
SAVAGE CAP 1_2068,EMS,ABC,en_3040603_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
SAVAGE CAP 2_2069,EMS,ABC,en_3040606_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
SAVAGE CAP 3_2070,EMS,ABC,en_3040609_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
SAVAGE CAP 4_2071,EMS,ABC,en_3040612_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
THOUSAND OAKS CAP 1_2072,EMS,ABC,en_3041612_SH,1,N,NULL,NULL,NULL,4800,16.0KV_4800,Fall-InSvcSchedule,,NULL,All
THOUSAND OAKS CAP 2_2073,EMS,ABC,en_3041622_SH,1,N,NULL,NULL,NULL,4800,16.0KV_4800,Fall-InSvcSchedule,,NULL,All
THOUSAND OAKS CAP 4_2074,EMS,ABC,en_3041642_SH,1,N,NULL,NULL,NULL,4800,16.0KV_4800,Fall-InSvcSchedule,,NULL,All
THOUSAND OAKS CAP 5_2075,EMS,ABC,en_3041652_SH,1,N,NULL,NULL,NULL,4800,16.0KV_4800,Fall-InSvcSchedule,,NULL,All
PALM CANYON CAP 1A_2127,EMS,ABC,en_3145611_SH,1,N,NULL,NULL,NULL,2625,12.0KV_2625,Fall-InSvcSchedule,,NULL,All
PALM CANYON CAP 1B_2128,EMS,ABC,en_3145612_SH,1,N,NULL,NULL,NULL,3000,12.0KV_3000,Fall-InSvcSchedule,,NULL,All
OLDFIELD CAP 1_2148,EMS,ABC,en_3200611_SH,1,N,NULL,NULL,NULL,2100,4.0KV_2100,Fall-InSvcSchedule,,NULL,All
