DeviceName,BusGroupName,PhaseCode,ConnectedNode1,LGFaultEnabled,ThreePhFaultEnabled,FLAEnabled,OperatingVoltage,SubstationName,FeederName,AORRefName
ROADWAY 12_3571055_150,EMS,ABC,en_3571055,N,N,N,12.0kV_EMS,ROADWAY,NULL,Z_EMS
ROADWAY 12_3571061_151,EMS,ABC,en_3571061,N,N,N,12.0kV_EMS,ROADWAY,NULL,Z_EMS
APPLE VAL 12_3573051_152,EMS,ABC,en_3573051,N,N,N,12.0kV_EMS,APPLE_VALLEY,NULL,Z_EMS
APPLE VAL 12_3573059_153,EMS,ABC,en_3573059,N,N,N,12.0kV_EMS,APPLE_VALLEY,NULL,Z_EMS
GLEN AVON 12_4011013_154,EMS,ABC,en_4011013,N,N,N,12.0kV_EMS,GLEN_AVON,NULL,Z_EMS
GLEN AVON 12_4011005_155,EMS,ABC,en_4011005,N,N,N,12.0kV_EMS,GLEN_AVON,NULL,Z_EMS
CHASE 12_4103004_156,EMS,ABC,en_4103004,N,N,N,12.0kV_EMS,CHASE,NULL,Z_EMS
CHASE 12_4103007_157,EMS,ABC,en_4103007,N,N,N,12.0kV_EMS,CHASE,NULL,Z_EMS
CHASE 12_4103498_158,EMS,ABC,en_4103498,N,N,N,12.0kV_EMS,CHASE,NULL,Z_EMS
CHASE 12_4103997_159,EMS,ABC,en_4103997,N,N,N,12.0kV_EMS,CHASE,NULL,Z_EMS
CHASE 12_4103997_160,EMS,ABC,en_4103997,N,N,N,12.0kV_EMS,CHASE,NULL,Z_EMS
CHASE 12_4103498_161,EMS,ABC,en_4103498,N,N,N,12.0kV_EMS,CHASE,NULL,Z_EMS
CRATER 16_4114999_162,EMS,ABC,en_4114999,N,N,N,12.0kV_EMS,CRATER,NULL,Z_EMS
DEVERS 12_4129004_163,EMS,ABC,en_4129004,N,N,N,12.0kV_EMS,DEVERS,NULL,Z_EMS
DEVERS 12_4129999_164,EMS,ABC,en_4129999,N,N,N,12.0kV_EMS,DEVERS,NULL,Z_EMS
DEVERS 12_4129010_165,EMS,ABC,en_4129010,N,N,N,12.0kV_EMS,DEVERS,NULL,Z_EMS
DEVERS 12_4129997_166,EMS,ABC,en_4129997,N,N,N,12.0kV_EMS,DEVERS,NULL,Z_EMS
CARODEAN 12_4130004_167,EMS,ABC,en_4130004,N,N,N,12.0kV_EMS,CARODEAN,NULL,Z_EMS
CARODEAN 12_4130009_168,EMS,ABC,en_4130009,N,N,N,12.0kV_EMS,CARODEAN,NULL,Z_EMS
COLTON 12_4143006_169,EMS,ABC,en_4143006,N,N,N,12.0kV_EMS,COLTON,NULL,Z_EMS
COLTON 12_4143014_170,EMS,ABC,en_4143014,N,N,N,12.0kV_EMS,COLTON,NULL,Z_EMS
COLTON 12_4143999_171,EMS,ABC,en_4143999,N,N,N,12.0kV_EMS,COLTON,NULL,Z_EMS
AQUEDUCT 12_4147500_172,EMS,ABC,en_4147500,N,N,N,12.0kV_EMS,AQUEDUCT,NULL,Z_EMS
AQUEDUCT 12_4147999_173,EMS,ABC,en_4147999,N,N,N,12.0kV_EMS,AQUEDUCT,NULL,Z_EMS
HESPERIA 12_4148999_174,EMS,ABC,en_4148999,N,N,N,12.0kV_EMS,HESPERIA,NULL,Z_EMS
VICTORVL 33_4158999_175,EMS,ABC,en_4158999,N,N,N,12.0kV_EMS,VICTORVILLE,NULL,Z_EMS
VICTORVL 12_4159999_176,EMS,ABC,en_4159999,N,N,N,12.0kV_EMS,VICTORVILLE,NULL,Z_EMS
VICTOLVL 4_4160999_177,EMS,ABC,en_4160999,N,N,N,4.0kV_EMS,VICTORVILLE,NULL,Z_EMS
VICTOLVL 4_4160999_178,EMS,ABC,en_4160999,N,N,N,4.0kV_EMS,VICTORVILLE,NULL,Z_EMS
MOULTON 12_4202703_179,EMS,ABC,en_4202703,N,N,N,12.0kV_EMS,MOULTON,NULL,Z_EMS
MOULTON 12_4202706_180,EMS,ABC,en_4202706,N,N,N,12.0kV_EMS,MOULTON,NULL,Z_EMS
MILLIKEN 12_4203005_181,EMS,ABC,en_4203005,N,N,N,12.0kV_EMS,MILLIKEN,NULL,Z_EMS
MILLIKEN 12_4203013_182,EMS,ABC,en_4203013,N,N,N,12.0kV_EMS,MILLIKEN,NULL,Z_EMS
MALIBU 16_4214999_183,EMS,ABC,en_4214999,N,N,N,12.0kV_EMS,MALIBU,NULL,Z_EMS
POTRERO 16_4216997_184,EMS,ABC,en_4216997,N,N,N,12.0kV_EMS,POTRERO,NULL,Z_EMS
POTRERO 16_4216999_185,EMS,ABC,en_4216999,N,N,N,12.0kV_EMS,POTRERO,NULL,Z_EMS
PHARMACY 16_4218999_186,EMS,ABC,en_4218999,N,N,N,12.0kV_EMS,PHARMACY,NULL,Z_EMS
YUCCA 12_4231005_187,EMS,ABC,en_4231005,N,N,N,12.0kV_EMS,YUCCA,NULL,Z_EMS
YUCCA 12_4231012_188,EMS,ABC,en_4231012,N,N,N,12.0kV_EMS,YUCCA,NULL,Z_EMS
YUCCA 12_4231999_189,EMS,ABC,en_4231999,N,N,N,12.0kV_EMS,YUCCA,NULL,Z_EMS
LAS LOMAS 12_4301003_190,EMS,ABC,en_4301003,N,N,N,12.0kV_EMS,LAS_LOMAS,NULL,Z_EMS
LAS LOMAS 12_4301011_191,EMS,ABC,en_4301011,N,N,N,12.0kV_EMS,LAS_LOMAS,NULL,Z_EMS
LAS LOMAS 12_4301997_192,EMS,ABC,en_4301997,N,N,N,12.0kV_EMS,LAS_LOMAS,NULL,Z_EMS
LAS LOMAS 12_4301999_193,EMS,ABC,en_4301999,N,N,N,12.0kV_EMS,LAS_LOMAS,NULL,Z_EMS
