AssetID,GroupName,Description,SerialNumber,High_Node,Low_Node,VendorTypeName,SetOrder,ComponentAlias,PhaseCode,Propagate_Non_Point_Value,Real_Initial_Value,Integer_Initial_Value,ComponentTypeName,StringValue,SubDeviceAssetID,StatusPointNumber,AnalogPointNumber,AccumPointNumber,RaiseLwPointNumber,CmePointNumber,StationNameRef,AccessZone,AccessArea,GroupNamePrimary,GroupNameSecondary,AORName
CB1L-LN-PL-T:6498,DMS,NULL,NULL,en_237100,en_237101,SWITCH,1,Switch_Position,ABC,NULL,NULL,NULL,SW_POS,NULL,NULL,173265,NULL,NULL,NULL,NULL,YUKON SAS,GCC,HINSON,NULL,NULL,All
CB5 LA-BR-NR:6506,DMS,NULL,NULL,en_237104,en_237105,SWITCH,1,Switch_Position,ABC,NULL,NULL,NULL,SW_POS,NULL,NULL,173220,NULL,NULL,NULL,NULL,YUKON SAS,GCC,HINSON,NULL,NULL,All
CB9 LA-BR-NR:6514,DMS,NULL,NULL,en_237108,en_237109,SWITCH,1,Switch_Position,ABC,NULL,NULL,NULL,SW_POS,NULL,NULL,173232,NULL,NULL,NULL,NULL,YUKON SAS,GCC,HINSON,NULL,NULL,All
CRANBROOK CB:6657,DMS,NULL,NULL,en_239119,en_239120,SWITCH,1!2!3!4!5!6,Switch_Position!Real_Power!Reactive_Power!Current!Current!Current,ABC!ABC!ABC!A!B!C,NULL!NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL!NULL,SW_POS!POWER_P!POWER_Q!CURRENT!CURRENT!CURRENT,NULL!NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL!NULL,173571!NULL!NULL!NULL!NULL!NULL,NULL!106365!118559!118555!118556!118557,NULL!NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL!NULL,YUKON SAS,GCC,HINSON,NULL,NULL,All
FACTOR E CB:6566,DMS,NULL,NULL,en_238123,en_238124,SWITCH,1!2!3!4!5!6,Switch_Position!Real_Power!Reactive_Power!Current!Current!Current,ABC!ABC!ABC!A!B!C,NULL!NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL!NULL,SW_POS!POWER_P!POWER_Q!CURRENT!CURRENT!CURRENT,NULL!NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL!NULL,173455!NULL!NULL!NULL!NULL!NULL,NULL!106366!118477!118473!118474!118475,NULL!NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL!NULL,YUKON SAS,GCC,HINSON,NULL,NULL,All
FACTOR W CB:6563,DMS,NULL,NULL,en_238121,en_238122,SWITCH,1,Switch_Position,ABC,NULL,NULL,NULL,SW_POS,NULL,NULL,173456,NULL,NULL,NULL,NULL,YUKON SAS,GCC,HINSON,NULL,NULL,All
FAIRBANKS CB:6650,DMS,NULL,NULL,en_239104,en_239105,SWITCH,1!2!3!4!5!6,Switch_Position!Real_Power!Reactive_Power!Current!Current!Current,ABC!ABC!ABC!A!B!C,NULL!NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL!NULL,SW_POS!POWER_P!POWER_Q!CURRENT!CURRENT!CURRENT,NULL!NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL!NULL,173501!NULL!NULL!NULL!NULL!NULL,NULL!106367!118505!118501!118502!118503,NULL!NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL!NULL,YUKON SAS,GCC,HINSON,NULL,NULL,All
GRANDVIEW CB:6649,DMS,NULL,NULL,en_239102,en_239103,SWITCH,1!2!3!4!5!6,Switch_Position!Real_Power!Reactive_Power!Current!Current!Current,ABC!ABC!ABC!A!B!C,NULL!NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL!NULL,SW_POS!POWER_P!POWER_Q!CURRENT!CURRENT!CURRENT,NULL!NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL!NULL,173491!NULL!NULL!NULL!NULL!NULL,NULL!106369!118497!118493!118494!118495,NULL!NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL!NULL,YUKON SAS,GCC,HINSON,NULL,NULL,All
HAWTHORN  CB:6590,DMS,NULL,NULL,en_238139,en_238140,SWITCH,1!2!3!4!5,Switch_Position!Reactive_Power!Current!Current!Current,ABC!ABC!A!B!C,NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL,SW_POS!POWER_Q!CURRENT!CURRENT!CURRENT,NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL,173419!NULL!NULL!NULL!NULL,NULL!118457!118453!118454!118455,NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL,YUKON SAS,GCC,HINSON,NULL,NULL,All
HAWTHRN W CB:6587,DMS,NULL,NULL,en_238137,en_238138,SWITCH,1,Switch_Position,ABC,NULL,NULL,NULL,SW_POS,NULL,NULL,173420,NULL,NULL,NULL,NULL,YUKON SAS,GCC,HINSON,NULL,NULL,All
