ENTRYNUMBER,OBJECTNAME                         ,OBJECTTYPE        ,SERVERCONTROLCENTERREF,DOMAINNAMEREF,DATASETNAMEREF,STATUSPOINTREF,ANALOGPOINTREF,ACCUMPOINTREF,CMEPOINTREF,INTERPRETA,MAN,VCCACCESSSETREF,SEQ
23334,DMS_CABRILLO_CULVERDALE_MVAR       ,RealQ             ,1,             ,15,              ,5478,             ,           ,          ,   ,               ,
23335,DMS_CABRILLO_NO1_CAPS_LO_RSET      ,StateQ            ,1,             ,15,262552,              ,             ,           ,          ,   ,               ,
23336,DMS_CABRILLO_NO2_CAPS_LO_RSET      ,StateQ            ,1,             ,15,262557,              ,             ,           ,          ,   ,               ,
23337,DMS_CABRILLO_NO3_CAPS_LO_RSET      ,StateQ            ,1,             ,15,262561,              ,             ,           ,          ,   ,               ,
23338,DMS_CABRILLO_NO4_CAPS_LO_RSET      ,StateQ            ,1,             ,15,262565,              ,             ,           ,          ,   ,               ,
23308,DMS_CAROLINA_CONNECTICUT_MVAR      ,RealQ             ,1,             ,15,              ,211221,             ,           ,          ,   ,               ,
23309,DMS_CAROLINA_DAKOTA_MVAR           ,RealQ             ,1,             ,15,              ,120642,             ,           ,          ,   ,               ,
23310,DMS_CAROLINA_FLORIDA_MVAR          ,RealQ             ,1,             ,15,              ,120647,             ,           ,          ,   ,               ,
23311,DMS_CAROLINA_KENTUCKY_MVAR         ,RealQ             ,1,             ,15,              ,120668,             ,           ,          ,   ,               ,
23312,DMS_CAROLINA_MARYLAND_MVAR         ,RealQ             ,1,             ,15,              ,120652,             ,           ,          ,   ,               ,
23313,DMS_CAROLINA_MASSACHUSETTS_MVAR    ,RealQ             ,1,             ,15,              ,211216,             ,           ,          ,   ,               ,
23314,DMS_CAROLINA_MINNESOTA_MVAR        ,RealQ             ,1,             ,15,              ,120678,             ,           ,          ,   ,               ,
23315,DMS_CAROLINA_NO1_BK_KV_BC          ,RealQ             ,1,             ,15,              ,120606,             ,           ,          ,   ,               ,
23316,DMS_CAROLINA_NO1_BK_MVAR           ,RealQ             ,1,             ,15,              ,120604,             ,           ,          ,   ,               ,
23317,DMS_CAROLINA_NO1_BK_MW             ,RealQ             ,1,             ,15,              ,120603,             ,           ,          ,   ,               ,
23328,DMS_CAROLINA_NO1_CAPS_CB           ,StateQ            ,1,             ,15,178470,              ,             ,           ,          ,   ,               ,
23329,DMS_CAROLINA_NO1_CAPS_CONT         ,StateQ            ,1,             ,15,178472,              ,             ,           ,          ,   ,               ,
23318,DMS_CAROLINA_NO1_CAPS_KV           ,RealQ             ,1,             ,15,              ,120628,             ,           ,          ,   ,               ,
