ObjectName,ObjectType,InterpretationTable,SeqOfEvents,ServerControlCenterRef,DomainNameRef,DataSetNameRef,StatusPointRef,AnalogPointRef,AccumPointRef,CmePointRef,ClientControlCenterRef,
DMS_ALHAMB_NO1_BK_MW,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,128522,NULL,NULL,NULL,
DMS_ALHAMB_NO1_CAPS_CB,StateQ,NULL,NULL,SCEOIS,NULL,NULL,199148,NULL,NULL,NULL,NULL,
DMS_ALHAMB_NO1_CAPS_CONT,StateQ,NULL,NULL,SCEOIS,NULL,NULL,199150,NULL,NULL,NULL,NULL,
DMS_ALHAMB_NO1_CAPS_KV,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,128698,NULL,NULL,NULL,
DMS_ALHAMB_NO1_CAPS_LO_RSET,StateQ,NULL,NULL,SCEOIS,NULL,NULL,199149,NULL,NULL,NULL,NULL,
DMS_ALHAMB_NO2_BK_KV_BC,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,128536,NULL,NULL,NULL,
DMS_ALHAMB_NO2_BK_MVAR,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,128534,NULL,NULL,NULL,
DMS_ALHAMB_NO2_BK_MW,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,128533,NULL,NULL,NULL,
DMS_ALHAMB_NO2_CAPS_CB,StateQ,NULL,NULL,SCEOIS,NULL,NULL,199155,NULL,NULL,NULL,NULL,
DMS_ALHAMB_NO2_CAPS_CONT,StateQ,NULL,NULL,SCEOIS,NULL,NULL,199157,NULL,NULL,NULL,NULL,
DMS_ALHAMB_NO2_CAPS_KV,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,128699,NULL,NULL,NULL,
DMS_ALHAMB_NO2_CAPS_LO_RSET,StateQ,NULL,NULL,SCEOIS,NULL,NULL,199156,NULL,NULL,NULL,NULL,
DMS_ALHAMB_NO3_CAPS_CB,StateQ,NULL,NULL,SCEOIS,NULL,NULL,272372,NULL,NULL,NULL,NULL,
DMS_ALHAMB_NO3_CAPS_CONT,StateQ,NULL,NULL,SCEOIS,NULL,NULL,272374,NULL,NULL,NULL,NULL,
DMS_ALHAMB_NO3_CAPS_KV,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,218952,NULL,NULL,NULL,
DMS_ALHAMB_NO3_CAPS_LO_RSET,StateQ,NULL,NULL,SCEOIS,NULL,NULL,272373,NULL,NULL,NULL,NULL,
DMS_ALHAMB_NO4_CAPS_CB,StateQ,NULL,NULL,SCEOIS,NULL,NULL,272379,NULL,NULL,NULL,NULL,
DMS_ALHAMB_NO4_CAPS_CONT,StateQ,NULL,NULL,SCEOIS,NULL,NULL,272381,NULL,NULL,NULL,NULL,
DMS_ALHAMB_NO4_CAPS_KV,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,218956,NULL,NULL,NULL,
DMS_ALHAMB_NO4_CAPS_LO_RSET,StateQ,NULL,NULL,SCEOIS,NULL,NULL,272380,NULL,NULL,NULL,NULL,
DMS_ALHAMB_ST_CHARLES_MVAR,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,128612,NULL,NULL,NULL,
DMS_ALHAMB_TAKNING_MVAR,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,128592,NULL,NULL,NULL,
